,Month,Date,PlaceName,HomeName,AwayName,HomeScore,AwayScore,IsHomeWin
0,5,200505,잠실,LGT,DSB,8,2,2
1,5,200505,문학,SKW,HHE,0,3,0
2,5,200505,대구,SSL,NCD,0,4,0
3,5,200505,수원,KTW,LTG,2,7,0
4,5,200505,광주,KIA,KWH,2,11,0
5,5,200506,잠실,LGT,DSB,2,5,0
6,5,200506,문학,SKW,HHE,5,2,2
7,5,200506,대구,SSL,NCD,3,4,0
8,5,200506,수원,KTW,LTG,4,9,0
9,5,200506,광주,KIA,KWH,2,3,0
10,5,200507,잠실,LGT,DSB,3,9,0
11,5,200507,문학,SKW,HHE,4,8,0
12,5,200507,대구,SSL,NCD,2,8,0
13,5,200507,수원,KTW,LTG,3,7,0
14,5,200507,광주,KIA,KWH,8,5,2
15,5,200508,잠실,DSB,KTW,3,12,0
16,5,200508,사직,LTG,SKW,9,8,2
17,5,200508,대구,SSL,KIA,5,0,2
18,5,200508,창원,NCD,LGT,13,5,2
19,5,200508,고척,KWH,HHE,5,3,2
20,5,200509,대구,SSL,KIA,14,2,2
21,5,200509,고척,KWH,HHE,5,3,2
22,5,200510,잠실,DSB,KTW,13,12,2
23,5,200510,사직,LTG,SKW,4,0,2
24,5,200510,대구,SSL,KIA,3,12,0
25,5,200510,창원,NCD,LGT,8,10,0
26,5,200510,고척,KWH,HHE,6,3,2
27,5,200512,잠실,LGT,SKW,9,5,2
28,5,200512,사직,LTG,DSB,6,11,0
29,5,200512,창원,NCD,KTW,7,6,2
30,5,200512,고척,KWH,SSL,3,2,2
31,5,200512,대전,HHE,KIA,1,2,0
32,5,200513,잠실,LGT,SKW,14,2,2
33,5,200513,사직,LTG,DSB,10,9,2
34,5,200513,창원,NCD,KTW,5,4,2
35,5,200513,고척,KWH,SSL,0,5,0
36,5,200513,대전,HHE,KIA,3,4,0
37,5,200514,잠실,LGT,SKW,3,2,2
38,5,200514,사직,LTG,DSB,4,7,0
39,5,200514,창원,NCD,KTW,1,0,2
40,5,200514,고척,KWH,SSL,5,8,0
41,5,200514,대전,HHE,KIA,4,1,2
42,5,200515,문학,SKW,NCD,2,6,0
43,5,200515,수원,KTW,SSL,14,6,2
44,5,200515,광주,KIA,DSB,4,13,0
45,5,200515,대전,HHE,LTG,2,1,2
46,5,200516,대전,HHE,LTG,1,5,0
47,5,200516,잠실,LGT,KWH,3,1,2
48,5,200516,문학,SKW,NCD,1,2,0
49,5,200516,수원,KTW,SSL,10,4,2
50,5,200516,광주,KIA,DSB,13,4,2
51,5,200516,잠실,LGT,KWH,5,3,2
52,5,200517,잠실,LGT,KWH,4,9,0
